CardNumber,AccountNumber,CVV,ExpDate,Currency,AuthMeth,AuthPass,Balance
4104332181960018,12345678,123,12/27,USD,PIN,1234,5467.23
4338908386379407,12345679,234,11/28,EUR,PASS,password123,2345.67
4265423511615599,12345680,345,10/29,AUD,PIN,5678,4532.10
4407816184959310,12345681,456,09/30,USD,PASS,securePass12,7650.90
4034131647525539,12345682,567,08/31,EUR,PIN,4321,3210.65
4419283276483509,12345683,678,07/32,AUD,PASS,myPassw0rd,4980.00
4305641395376721,12345684,789,06/33,USD,PIN,6789,4000.12
4423884969653284,12345685,890,05/34,EUR,PASS,loginPass55,200.00
4710122691669787,12345686,901,04/35,AUD,PIN,9876,7800.77
4480184514627044,12345687,112,03/36,USD,PASS,password5678,1234.56
4828148932528804,12345688,223,02/37,EUR,PIN,1357,6789.45
4957015430391170,12345689,334,01/38,AUD,PASS,complexPass99,900.23
4182278248963831,12345690,445,12/39,USD,PIN,2468,2200.00
4465787133150989,12345691,556,11/40,EUR,PASS,alphaBeta01,7000.50
4393010310518341,12345692,667,10/41,AUD,PIN,3698,1200.77
4738299737631167,12345693,778,09/42,USD,PASS,password876,6500.00
4566701065133382,12345694,889,08/43,EUR,PIN,1597,4300.99
4726247317810804,12345695,990,07/44,AUD,PASS,loginP@sswd,5432.10
4132677360260648,12345696,101,06/27,USD,PIN,4826,3300.20
4746872343098052,12345697,212,05/28,EUR,PASS,anotherPwd1,8000.00
4009788208121913614,12345698,323,04/29,AUD,PIN,7531,650.00
4939909169985435346,12345699,434,03/30,USD,PASS,v1saP@ss99,9100.45
4624751079911838421,12345700,545,02/31,EUR,PIN,8642,3750.80
4513542784980841243,12345701,656,01/32,AUD,PASS,hunter2safe,430.15
4118244935348740167,12345702,767,12/32,USD,PIN,1928,5290.00
5300524278680116,22345678,321,12/27,USD,PIN,1278,5420.00
5280598262045050,22345679,432,11/28,EUR,PASS,secretPass12,756.43
5231586923226029,22345680,543,10/29,AUD,PIN,9345,6300.12
5363421607337548,22345681,654,09/30,USD,PASS,safePassword,2100.33
5230365414586857,22345682,765,08/31,EUR,PASS,Passwordsafe,8932.01
5114294019655696,22345683,876,07/32,AUD,PIN,1424,5550.99
5516934060883564,22345684,987,06/33,USD,PIN,4567,1000.88
5159514846564829,22345685,198,05/34,EUR,PASS,password0987,5400.11
5266299468044363,22345686,209,04/35,AUD,PIN,3456,1900.45
5595777387214896,22345687,310,03/36,USD,PASS,password3214,8700.67
5313433200379174,22345688,421,02/37,EUR,PIN,7891,7891.00
5493676320163280,22345689,532,01/38,AUD,PASS,secureP@ssword,4300.50
5408317278895797,22345690,643,12/39,USD,PIN,6547,6547.00
5568727743487341,22345691,754,11/40,EUR,PASS,loginPass432,4321.50
5414345581223623,22345692,865,10/41,AUD,PIN,1239,1239.88
5216658760366900,22345693,976,09/42,USD,PASS,randomP@ss12,9874.90
5567054668893739,22345694,187,08/43,EUR,PIN,9874,5432.01
5367065627298069,22345695,298,07/44,AUD,PASS,password9810,9810.25
5590162720465379,22345696,309,06/27,USD,PIN,1923,1923.50
5356464170805318,22345697,410,05/28,EUR,PASS,pwd12345678,2567.45
5103309232719377,22345698,521,04/29,AUD,PIN,3571,780.00
5352991241904963,22345699,632,03/30,USD,PASS,m@sterC@rd1,6100.20
5431931491905869,22345700,743,02/31,EUR,PIN,8024,4420.55
5318506716572625,22345701,854,01/32,AUD,PASS,bankS3cure99,310.70
5549877694531474,22345702,965,12/32,USD,PIN,5103,7650.00
